unique_no,sex,age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,location,offspring,orientation,pets,religion,sign,smokes,speaks,status,question1,question2,question3,question4,question5,weight
2110,m,25,athletic,anything,socially,sometimes,working on college/university,white,72,-1,law / legal services,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,leo,trying to quit,english,single,4,5,6,1,9,72
2111,f,36,average,vegan,not at all,never,graduated from college/university,white,66,20000,education / academia,"oakland, california",,bisexual,likes dogs and has cats,agnosticism,virgo,no,english,available,10,10,9,7,9,86
2112,f,37,fit,anything,not at all,never,graduated from masters program,white,59,100000,education / academia,"san francisco, california",,straight,has dogs,other,cancer,no,english,single,5,6,7,1,1,91
2113,f,32,fit,anything,socially,never,graduated from college/university,white,64,-1,other,"berkeley, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and dislikes cats,atheism,scorpio,no,english,single,1,10,2,6,8,85
2114,m,31,athletic,anything,socially,never,graduated from law school,other,72,-1,law / legal services,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,other,sagittarius,no,english,single,6,6,5,4,10,61
2115,m,22,athletic,vegetarian,socially,never,working on college/university,indian,69,60000,executive / management,"san francisco, california",doesn&rsquo;t have kids,straight,,other,leo,no,english,single,8,6,8,4,3,60
2116,m,35,fit,anything,socially,never,graduated from college/university,indian,68,-1,education / academia,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,has dogs,other,capricorn,no,english,single,3,7,4,9,3,65
2117,m,42,fit,anything,socially,never,graduated from masters program,indian,66,150000,executive / management,"novato, california",,straight,,other,cancer,no,english,single,6,5,1,3,8,74
2118,f,40,average,vegetarian,socially,never,graduated from law school,white,71,-1,other,"san francisco, california",doesn&rsquo;t have kids,straight,has dogs and has cats,other,gemini,no,"english,",single,2,1,9,2,1,54
2119,f,40,fit,anything,socially,never,graduated from masters program,white,63,-1,other,"san francisco, california",,gay,,other,cancer,,"english,",single,3,9,4,1,9,61
2120,f,39,fat,anything,rarely,never,graduated from college/university,white,63,-1,artistic / musical / writer,"castro valley, california","has kids, but doesn&rsquo;t want more",straight,,agnosticism,sagittarius,no,english,married,2,9,8,3,9,65
2121,m,28,average,anything,socially,never,,asian,68,-1,other,"pinole, california",,straight,,catholicism,aquarius,no,english,single,9,8,5,10,3,71
2122,f,51,average,anything,socially,never,graduated from two-year college,white,65,-1,other,"walnut creek, california",has kids,straight,has dogs and likes cats,other,gemini,yes,english,single,9,8,8,1,7,76
2123,m,31,athletic,anything,socially,never,graduated from high school,black,69,-1,other,"san lorenzo, california",,straight,likes dogs and dislikes cats,other,leo,no,english,single,1,10,3,3,9,51
2124,m,31,average,anything,often,sometimes,graduated from college/university,white,71,-1,artistic / musical / writer,"san francisco, california",doesn&rsquo;t want kids,straight,likes cats,other,capricorn,sometimes,english,single,8,1,8,8,9,80
2125,f,43,fat,anything,socially,never,graduated from college/university,asian,62,50000,medicine / health,"oakland, california",,straight,has cats,agnosticism,gemini,no,english,single,1,6,1,6,9,71
2126,f,47,fit,anything,rarely,never,graduated from masters program,white,69,40000,education / academia,"alameda, california",has a kid,straight,,agnosticism,gemini,no,english,single,6,2,8,6,7,55
2127,m,30,average,anything,socially,never,working on two-year college,black,70,30000,other,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and likes cats,agnosticism,aquarius,no,english,single,2,2,3,4,4,84
2128,m,28,fit,anything,often,sometimes,graduated from college/university,black  white,72,-1,other,"san leandro, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other,gemini,trying to quit,english,single,4,2,10,1,7,76
2129,m,22,thin,anything,socially,never,graduated from college/university,middle eastern  white,71,-1,student,"palo alto, california",,gay,likes dogs,other,gemini,no,"english,",single,9,3,5,5,9,91
2130,m,37,average,anything,rarely,never,graduated from high school,asian,71,-1,medicine / health,"oakland, california",doesn&rsquo;t want kids,straight,likes dogs and dislikes cats,buddhism,taurus,no,english,single,2,3,10,9,1,57
2131,m,57,average,vegetarian,rarely,never,graduated from high school,white,73,-1,other,"fairfax, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes cats,other,aries,no,english,single,10,3,7,3,4,74
2132,f,19,average,anything,rarely,never,working on college/university,white,67,-1,student,"oakland, california",,straight,likes dogs and has cats,christianity,libra,no,english,single,8,2,10,5,3,95
2133,m,34,athletic,anything,rarely,never,working on med school,native american  pacific islander,70,-1,medicine / health,"oakland, california",,straight,likes dogs and likes cats,other,libra,no,english,single,10,2,9,6,1,67
2134,f,21,fat,anything,socially,never,working on college/university,native american  pacific islander,62,-1,student,"brisbane, california","doesn&rsquo;t have kids, but might want them",straight,has dogs,christianity,taurus,no,english,single,1,2,3,10,7,59
2135,f,42,fit,anything,socially,never,graduated from college/university,white,70,30000,medicine / health,"oakland, california",,straight,likes dogs and likes cats,other,taurus,no,english,single,6,6,3,6,9,79
2136,m,25,athletic,anything,socially,never,graduated from masters program,white,74,-1,sales / marketing / biz dev,"san francisco, california",,straight,,other,taurus,no,english,single,5,8,2,4,10,56
2137,f,24,athletic,anything,socially,never,,pacific islander,63,30000,,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,has dogs,catholicism,pisces,yes,english,single,5,4,2,5,3,71
2138,m,66,fat,anything,not at all,never,graduated from masters program,white,69,-1,,"oakland, california",,straight,likes dogs,other,cancer,no,english,single,10,10,8,5,5,86
2139,m,26,average,anything,often,sometimes,graduated from college/university,white,67,-1,entertainment / media,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs and likes cats,other,pisces,sometimes,english,single,8,2,5,9,9,98
2140,f,30,thin,vegan,not at all,never,graduated from college/university,white,63,-1,education / academia,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,virgo,no,"english,",single,1,4,3,6,7,70
2141,m,28,thin,anything,socially,never,graduated from space camp,other,71,-1,other,"san francisco, california",,straight,,other,gemini,sometimes,english,single,8,7,7,8,4,90
2142,f,45,average,anything,often,never,dropped out of college/university,black  other,68,70000,computer / hardware / software,"berkeley, california",,straight,likes dogs and likes cats,other,aquarius,no,english,single,10,6,10,4,4,83
2143,f,32,average,anything,socially,never,graduated from college/university,white,69,-1,science / tech / engineering,"san francisco, california",,straight,likes dogs,catholicism,scorpio,no,english,single,8,3,4,10,10,58
2144,m,30,average,anything,socially,never,graduated from masters program,indian,72,-1,banking / financial / real estate,"oakland, california",,straight,,other,scorpio,no,"english,",single,1,1,6,3,5,70
2145,m,42,average,vegetarian,socially,never,graduated from two-year college,asian,70,60000,sales / marketing / biz dev,"el sobrante, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,hinduism,aquarius,yes,english,single,5,2,7,6,6,72
2146,m,27,fit,anything,socially,sometimes,,indian,69,-1,,"oakland, california",,straight,likes dogs and likes cats,atheism,aquarius,when drinking,"english,",single,2,9,5,5,6,52
2147,f,46,fat,anything,socially,never,graduated from college/university,asian,58,-1,artistic / musical / writer,"daly city, california",,straight,has cats,other,gemini,no,english,single,9,10,10,9,4,83
2148,m,26,athletic,anything,socially,never,graduated from college/university,asian,69,-1,education / academia,"san leandro, california",,straight,,other,scorpio,when drinking,english,single,1,8,10,10,2,79
2149,f,40,fat,anything,socially,never,graduated from college/university,white,66,-1,computer / hardware / software,"san carlos, california",has kids,straight,has dogs and likes cats,christianity,aquarius,no,english,seeing someone,2,9,1,2,2,97
2150,f,32,athletic,anything,socially,never,graduated from masters program,asian,62,-1,science / tech / engineering,"san francisco, california",,straight,likes dogs and likes cats,agnosticism,scorpio,no,english,single,6,8,6,10,7,73
2151,m,49,fit,anything,socially,sometimes,,white,70,100000,computer / hardware / software,"hayward, california",,bisexual,,atheism,taurus,no,english,available,7,4,2,9,6,76
2152,m,28,athletic,anything,socially,never,working on ph.d program,white,70,-1,student,"san francisco, california",,straight,likes dogs,buddhism,libra,no,english,single,10,2,5,3,2,77
2153,m,25,athletic,anything,socially,never,working on masters program,white,77,30000,student,"oakland, california",,straight,,agnosticism,pisces,no,english,single,9,2,3,4,9,58
2154,f,28,athletic,anything,socially,never,graduated from college/university,white,62,-1,,"walnut creek, california",doesn&rsquo;t have kids,straight,,other,pisces,,english,single,3,1,7,6,3,72
2155,m,30,fit,anything,socially,never,graduated from masters program,indian,70,80000,banking / financial / real estate,"san francisco, california",,straight,likes dogs and likes cats,other,pisces,no,english,single,6,7,10,10,1,70
2156,m,27,average,vegetarian,socially,never,working on college/university,native american  white,71,-1,student,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,other,libra,no,english,single,1,8,3,3,1,58
2157,m,32,average,anything,socially,never,graduated from college/university,asian,69,80000,banking / financial / real estate,"san francisco, california",,straight,has dogs,other,leo,no,english,single,9,3,9,2,9,76
2158,m,28,fit,anything,socially,never,graduated from college/university,white,69,100000,computer / hardware / software,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,taurus,trying to quit,english,single,6,7,6,8,2,79
2159,f,34,fit,vegetarian,socially,never,graduated from college/university,white,65,-1,executive / management,"san rafael, california","doesn&rsquo;t have kids, but might want them",straight,,catholicism,aries,sometimes,english,single,8,7,3,1,5,78
2160,f,35,average,anything,socially,never,college/university,white,64,-1,education / academia,"redwood city, california",has kids,straight,,catholicism,scorpio,no,"english,",single,2,10,10,8,7,67
2161,f,26,fat,anything,socially,never,working on space camp,asian,60,-1,entertainment / media,"san francisco, california",,straight,likes dogs and likes cats,christianity,scorpio,no,english,seeing someone,3,3,4,6,3,85
2162,m,25,athletic,anything,socially,never,graduated from college/university,asian,70,-1,banking / financial / real estate,"san francisco, california",,straight,,other,scorpio,no,"english,",single,10,7,9,10,10,94
2163,m,42,athletic,anything,socially,never,graduated from ph.d program,white,69,-1,law / legal services,"fairfax, california","has kids, but doesn&rsquo;t want more",straight,has dogs and has cats,judaism,scorpio,trying to quit,english,single,2,9,1,9,4,59
2164,f,28,average,anything,often,sometimes,,white,66,-1,,"san francisco, california",,straight,,other,leo,no,english,single,6,1,9,2,1,61
2165,m,25,thin,anything,socially,never,graduated from college/university,white,74,-1,medicine / health,"san francisco, california",doesn&rsquo;t have kids,straight,,other,scorpio,no,english,single,8,8,5,2,6,89
2166,m,29,fit,anything,socially,never,graduated from masters program,white,68,-1,,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,other,scorpio,no,"english,",single,9,2,7,6,1,93
2167,m,30,average,anything,socially,never,dropped out of space camp,white,70,80000,entertainment / media,"san francisco, california",,straight,likes dogs and likes cats,atheism,scorpio,no,english,single,3,5,6,1,1,58
2168,m,37,fit,anything,socially,never,graduated from college/university,other,70,-1,medicine / health,"san francisco, california",,straight,likes dogs and likes cats,other,aquarius,no,"english,",single,6,9,1,1,6,89
2169,f,29,thin,vegetarian,often,never,graduated from masters program,white,69,-1,medicine / health,"san francisco, california",,straight,likes dogs and has cats,other,libra,no,english,single,5,9,4,9,9,93
2170,f,28,thin,anything,socially,never,graduated from college/university,white,66,-1,,"san francisco, california",,straight,,catholicism,leo,no,english,single,6,9,8,7,8,73
2171,f,51,fat,other,not at all,never,graduated from masters program,white,62,-1,education / academia,"montara, california",doesn&rsquo;t have kids,straight,has dogs,other,leo,no,english,single,1,6,4,9,2,58
2172,f,31,thin,anything,rarely,never,,white,68,-1,student,"belvedere tiburon, california","doesn&rsquo;t have kids, but wants them",straight,,atheism,aquarius,no,"english,",single,10,6,4,6,3,80
2173,m,43,fit,anything,rarely,never,working on college/university,native american  white,72,-1,medicine / health,"benicia, california",has kids,straight,,other,aquarius,no,english,single,6,5,3,3,2,50
2174,m,26,athletic,anything,socially,never,graduated from college/university,indian,72,-1,science / tech / engineering,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,other,scorpio,no,english,single,4,7,7,7,8,58
2175,m,43,average,anything,socially,never,graduated from college/university,white,73,100000,computer / hardware / software,"san francisco, california",,straight,has dogs,other,scorpio,no,english,single,10,2,3,10,8,62
2176,m,33,athletic,anything,not at all,never,graduated from college/university,white,68,-1,other,"san francisco, california",,gay,likes dogs,other,virgo,no,english,single,6,5,6,3,2,65
2177,f,42,average,anything,rarely,never,,white,66,-1,,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",gay,,atheism,gemini,when drinking,english,single,10,10,3,9,6,88
2178,m,24,thin,anything,rarely,never,working on ph.d program,indian,76,-1,student,"stanford, california",doesn&rsquo;t have kids,straight,,agnosticism,gemini,no,english,single,8,7,9,3,8,70
2179,f,23,average,anything,socially,never,working on college/university,asian  black  native american  hispanic   latin  white,62,20000,student,"san francisco, california",,straight,likes dogs and likes cats,christianity,virgo,no,english,single,3,8,5,6,8,65
2180,m,28,average,anything,socially,never,,asian,67,-1,other,"san mateo, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,other,virgo,no,english,single,10,9,10,9,5,64
2181,f,38,fit,anything,socially,never,graduated from college/university,asian,61,-1,other,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,other,cancer,no,"english,",single,6,6,7,10,5,85
2182,m,26,fit,anything,socially,never,graduated from college/university,white,75,-1,science / tech / engineering,"pleasant hill, california",,straight,likes dogs and likes cats,other,capricorn,no,"english,",single,3,3,7,7,6,74
2183,m,25,fit,anything,socially,never,graduated from college/university,white,67,-1,other,"san francisco, california",,straight,,atheism,capricorn,no,english,single,4,5,4,9,8,59
2184,f,38,fit,anything,socially,never,graduated from law school,white,67,-1,law / legal services,"palo alto, california",doesn&rsquo;t have kids,straight,,christianity,aquarius,no,"english,",single,9,2,4,8,3,73
2185,m,32,athletic,anything,socially,sometimes,,white,73,-1,,"berkeley, california",doesn&rsquo;t have kids,straight,,atheism,aquarius,sometimes,english,single,6,6,2,8,6,98
2186,m,66,thin,vegetarian,rarely,never,graduated from college/university,white,70,100000,other,"san mateo, california","has a kid, but doesn&rsquo;t want more",straight,,agnosticism,aquarius,,english,single,2,1,7,3,5,91
2187,m,25,athletic,anything,socially,never,working on two-year college,hispanic   latin,71,20000,sales / marketing / biz dev,"south san francisco, california",,straight,,catholicism,cancer,no,english,single,8,8,3,10,7,61
2188,m,38,athletic,anything,socially,never,graduated from college/university,white,69,-1,entertainment / media,"san francisco, california",,straight,likes dogs and likes cats,buddhism,leo,no,"english,",available,3,10,7,10,6,86
2189,m,39,fit,anything,socially,never,graduated from med school,asian,70,-1,medicine / health,"oakland, california",,straight,likes dogs and likes cats,other,taurus,no,english,single,4,2,2,4,2,57
2190,m,31,athletic,anything,socially,never,graduated from college/university,hispanic   latin,70,-1,banking / financial / real estate,"san francisco, california",,straight,likes dogs,catholicism,taurus,no,english,single,6,4,3,6,9,65
2191,m,22,average,anything,socially,never,,hispanic   latin,66,-1,,"san francisco, california",,straight,,other,taurus,,english,single,10,1,4,5,2,69
2192,m,34,athletic,anything,socially,never,graduated from college/university,hispanic   latin,65,-1,science / tech / engineering,"el cerrito, california",doesn&rsquo;t have kids,straight,,other,taurus,no,"english,",single,3,7,9,7,6,63
2193,f,31,average,anything,socially,never,graduated from college/university,asian  pacific islander  other,62,-1,other,"oakland, california",,gay,has cats,atheism,pisces,yes,english,single,6,8,6,9,7,95
2194,f,35,fit,anything,often,never,graduated from college/university,white,62,-1,,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,,agnosticism,libra,no,english,single,3,8,5,10,10,83
2195,m,31,average,anything,rarely,never,college/university,white,70,-1,computer / hardware / software,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism,pisces,no,english,single,8,1,3,2,4,94
2196,m,28,average,anything,socially,sometimes,graduated from college/university,asian,69,-1,hospitality / travel,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs and likes cats,atheism,gemini,when drinking,english,available,1,9,6,2,1,55
2197,m,42,fit,anything,socially,sometimes,,other,72,-1,,"san francisco, california",,straight,,other,scorpio,no,english,single,6,5,6,10,4,98
2198,m,34,athletic,anything,socially,never,graduated from college/university,other,67,-1,other,"san francisco, california",doesn&rsquo;t have kids,straight,,agnosticism,taurus,no,english,single,6,8,8,7,10,77
2199,f,20,athletic,vegetarian,socially,never,working on college/university,white,67,-1,student,"woodside, california",doesn&rsquo;t want kids,straight,has dogs and has cats,other,sagittarius,no,english,single,3,7,10,5,2,82
2200,f,31,fat,anything,socially,never,graduated from college/university,hispanic   latin,64,-1,clerical / administrative,"alameda, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and has cats,agnosticism,cancer,no,english,single,2,5,7,5,4,61
2201,m,25,athletic,anything,socially,never,graduated from college/university,indian  other,69,-1,other,"san francisco, california",,straight,,other,virgo,no,"english,",single,4,4,7,5,1,96
2202,m,37,average,vegetarian,socially,never,graduated from masters program,black  white,72,50000,education / academia,"alameda, california",,gay,,other,scorpio,,"english,",single,3,2,9,7,5,84
2203,m,38,fat,anything,socially,never,dropped out of space camp,white,73,-1,construction / craftsmanship,"oakland, california","has kids, but doesn&rsquo;t want more",straight,likes dogs and likes cats,atheism,cancer,no,english,single,7,2,10,2,5,59
2204,m,38,average,anything,socially,never,graduated from masters program,white,74,-1,education / academia,"alameda, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,agnosticism,cancer,no,english,single,10,1,2,9,6,60
2205,m,52,fit,anything,socially,never,graduated from masters program,white,70,-1,,"alameda, california",,straight,,other,cancer,no,english,available,7,6,4,10,1,93
2206,m,42,fit,anything,not at all,never,graduated from ph.d program,white,72,-1,,"san francisco, california",doesn&rsquo;t want kids,gay,,atheism,pisces,sometimes,english,single,7,3,8,5,2,67
2207,m,30,athletic,anything,socially,never,graduated from med school,asian,66,-1,medicine / health,"san francisco, california",,straight,likes dogs and dislikes cats,other,pisces,no,english,single,7,10,9,8,9,76
2208,m,30,average,anything,socially,never,graduated from masters program,asian,68,-1,sales / marketing / biz dev,"san bruno, california",,straight,,other,aquarius,no,english,single,6,1,3,1,9,53
2209,m,27,average,anything,socially,never,graduated from college/university,asian,69,-1,science / tech / engineering,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,,other,cancer,no,english,single,10,8,9,1,9,60
2210,m,30,average,anything,socially,never,,white,71,-1,,"pleasant hill, california",doesn&rsquo;t have kids,straight,,other,taurus,,english,single,2,1,2,7,6,98
2211,f,26,average,anything,rarely,never,graduated from college/university,white,63,-1,,"oakland, california",doesn&rsquo;t have kids,bisexual,,other,virgo,,english,single,8,6,6,4,1,89
2212,f,30,average,vegetarian,socially,never,working on college/university,pacific islander  white,60,20000,artistic / musical / writer,"berkeley, california",,straight,has dogs and likes cats,other,gemini,,english,single,10,5,2,3,8,61
2213,m,46,average,anything,socially,sometimes,college/university,white,72,80000,computer / hardware / software,"hayward, california","doesn&rsquo;t have kids, but wants them",straight,has cats,agnosticism,cancer,sometimes,english,single,4,10,3,3,1,61
2214,m,38,average,anything,socially,never,,middle eastern,73,30000,other,"oakland, california",,straight,has cats,atheism,cancer,sometimes,english,single,9,7,4,6,9,81
2215,m,28,fit,anything,socially,never,graduated from high school,native american  white,70,70000,construction / craftsmanship,"oakland, california",doesn&rsquo;t have kids,straight,has dogs and dislikes cats,other,aquarius,sometimes,english,single,1,6,4,1,10,65
2216,f,27,thin,anything,socially,never,,white,64,-1,other,"san francisco, california",,straight,has dogs,other,sagittarius,no,english,single,1,7,9,4,9,74
2217,m,31,thin,anything,socially,never,graduated from college/university,white,72,-1,science / tech / engineering,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,,other,libra,no,,single,3,1,10,9,4,56
2218,f,34,fat,anything,socially,never,graduated from high school,asian  black  white,68,-1,medicine / health,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,atheism,sagittarius,no,english,single,2,1,9,6,6,67
2219,m,22,athletic,anything,socially,never,working on two-year college,asian  black  native american  pacific islander  other,69,-1,student,"berkeley, california",,straight,has cats,other,cancer,,english,single,6,5,1,7,5,86
2220,f,31,average,anything,often,sometimes,graduated from college/university,white,64,-1,computer / hardware / software,"san francisco, california",,straight,,other,pisces,,english,single,8,3,5,5,8,87
2221,m,27,fit,anything,socially,sometimes,,hispanic   latin,66,-1,sales / marketing / biz dev,"berkeley, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes cats,other,aquarius,no,english,seeing someone,7,4,3,2,4,74
2222,m,32,fit,anything,socially,never,graduated from college/university,white,69,-1,sales / marketing / biz dev,"berkeley, california",,straight,likes dogs,other,libra,no,english,single,1,2,2,2,5,68
2223,f,25,average,vegetarian,socially,never,graduated from college/university,white,64,-1,education / academia,"oakland, california",,straight,,other,libra,no,"english,",single,1,5,7,9,2,52
2224,m,28,fit,anything,socially,never,graduated from college/university,hispanic   latin,72,-1,science / tech / engineering,"san mateo, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,other,libra,no,english,single,1,4,2,2,5,85
2225,f,32,athletic,anything,often,never,,middle eastern  hispanic   latin  white,64,-1,,"san francisco, california",,gay,,agnosticism,pisces,no,english,seeing someone,4,4,4,7,10,88
2226,m,43,average,anything,socially,never,graduated from two-year college,white,72,-1,transportation,"hayward, california",,straight,,other,pisces,no,english,single,4,5,6,3,6,76
2227,m,25,athletic,anything,socially,never,graduated from high school,white,70,-1,construction / craftsmanship,"pacifica, california",,straight,,other,aries,yes,english,single,6,7,9,7,10,90
2228,f,25,average,anything,rarely,sometimes,graduated from college/university,white,63,20000,student,"pacifica, california",,gay,likes dogs and has cats,other,taurus,no,english,single,7,10,10,1,1,94
2229,m,30,thin,anything,often,never,graduated from college/university,white,73,20000,artistic / musical / writer,"san francisco, california",has kids,straight,,christianity,gemini,yes,"english,",single,1,2,4,9,3,83
2230,m,28,fat,anything,rarely,never,graduated from college/university,white,68,-1,artistic / musical / writer,"san francisco, california",,straight,likes dogs and likes cats,judaism,cancer,no,"english,",single,9,10,6,4,9,68
2231,m,33,fit,vegetarian,socially,never,graduated from masters program,white,73,-1,computer / hardware / software,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism,cancer,no,english,single,10,9,8,8,4,51
2232,f,55,fit,anything,socially,never,graduated from masters program,white,61,-1,other,"albany, california","has a kid, but doesn&rsquo;t want more",straight,likes dogs and has cats,other,libra,no,english,single,3,5,9,4,3,64
2233,m,41,athletic,anything,socially,never,graduated from masters program,asian  pacific islander,72,-1,executive / management,"albany, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,buddhism,gemini,no,english,single,9,2,10,6,3,72
2234,f,22,thin,anything,socially,sometimes,working on college/university,asian  pacific islander  white,64,20000,entertainment / media,"oakland, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",bisexual,likes dogs and dislikes cats,agnosticism,pisces,trying to quit,english,single,10,4,9,2,2,55
2235,f,20,fit,anything,often,sometimes,working on college/university,white,69,-1,student,"berkeley, california",,straight,has dogs and likes cats,buddhism,gemini,no,english,single,9,7,9,1,1,69
2236,m,20,fat,anything,socially,never,working on college/university,hispanic   latin,72,-1,student,"san francisco, california",,gay,,other,cancer,no,english,single,2,10,1,1,4,80
2237,m,31,fit,anything,rarely,never,graduated from masters program,asian,69,-1,other,"san francisco, california",,straight,likes dogs,other,virgo,no,english,single,5,10,1,3,6,86
2238,m,49,fit,anything,rarely,never,graduated from college/university,hispanic   latin,67,-1,other,"pleasant hill, california",,straight,,other,leo,no,english,single,6,8,1,9,9,94
2239,m,32,fit,anything,rarely,never,graduated from ph.d program,white,72,-1,education / academia,"berkeley, california",doesn&rsquo;t have kids,straight,likes cats,agnosticism,aries,no,english,single,9,9,2,5,7,86
2240,m,23,average,anything,socially,never,working on college/university,white,69,-1,other,"san francisco, california",,straight,,atheism,aquarius,trying to quit,"english,",single,4,7,9,9,5,85
2241,m,26,fit,anything,socially,never,graduated from college/university,hispanic   latin,68,-1,science / tech / engineering,"emeryville, california",,straight,,agnosticism,aquarius,no,english,single,4,7,6,2,10,84
2242,m,28,fat,anything,socially,never,working on college/university,other,70,-1,,"san francisco, california",,straight,,other,aquarius,sometimes,english,single,10,5,8,8,3,85
2243,m,23,athletic,anything,socially,sometimes,working on two-year college,other,72,-1,,"hayward, california",,straight,,christianity,gemini,yes,english,single,6,3,4,3,1,83
2244,m,31,athletic,anything,socially,never,,hispanic   latin,69,-1,sales / marketing / biz dev,"san francisco, california",doesn&rsquo;t want kids,gay,likes dogs,other,scorpio,no,english,single,8,3,6,7,7,82
2245,f,31,athletic,anything,socially,never,graduated from college/university,white,64,-1,student,"san carlos, california",,straight,,other,libra,when drinking,english,single,9,6,5,7,4,56
2246,m,23,fit,anything,rarely,never,working on college/university,asian,69,-1,student,"san francisco, california",,gay,likes dogs and likes cats,other,aries,no,english,single,1,6,6,9,1,53
2247,m,29,fit,anything,socially,never,working on ph.d program,asian,72,-1,student,"oakland, california",doesn&rsquo;t have kids,straight,likes cats,agnosticism,capricorn,no,english,single,6,7,9,6,5,76
2248,f,28,fat,vegan,socially,sometimes,graduated from ph.d program,middle eastern,72,-1,unemployed,"oakland, california",doesn&rsquo;t want kids,bisexual,likes dogs and likes cats,other,scorpio,sometimes,"english,",single,5,2,1,3,7,85
2249,m,32,fat,anything,socially,never,graduated from masters program,asian,69,80000,computer / hardware / software,"redwood city, california",,straight,,atheism,taurus,no,english,single,4,6,7,7,3,64
2250,m,42,average,anything,socially,sometimes,college/university,white,71,-1,computer / hardware / software,"oakland, california",,bisexual,has cats,buddhism,virgo,no,english,available,8,3,5,2,9,73
2251,f,22,fat,vegetarian,socially,sometimes,working on college/university,other,61,-1,entertainment / media,"san francisco, california",,bisexual,has dogs and has cats,other,leo,when drinking,english,single,1,9,9,7,8,55
2252,f,30,average,anything,socially,never,graduated from college/university,white,68,-1,medicine / health,"san francisco, california",,straight,,other,leo,no,english,single,9,5,9,1,9,61
2253,m,20,thin,anything,socially,sometimes,graduated from college/university,white,70,20000,construction / craftsmanship,"berkeley, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,other,libra,no,english,single,4,8,4,4,3,51
2254,m,30,athletic,anything,socially,never,graduated from college/university,black,73,-1,science / tech / engineering,"san francisco, california",,straight,,islam,aquarius,no,english,single,1,9,3,10,7,71
2255,f,27,athletic,anything,socially,never,graduated from masters program,white,69,-1,sales / marketing / biz dev,"san francisco, california",,straight,has dogs,other,gemini,when drinking,english,single,8,10,3,7,7,93
2256,f,36,fat,kosher,rarely,never,working on ph.d program,middle eastern,63,-1,education / academia,"alameda, california",has kids,gay,has cats,judaism,gemini,no,"english,",single,6,10,5,4,1,85
2257,m,29,fit,anything,socially,never,graduated from college/university,asian,67,-1,sales / marketing / biz dev,"redwood city, california",,straight,,other,libra,no,english,single,9,2,1,5,1,84
2258,m,25,fit,anything,socially,never,working on ph.d program,white,69,-1,student,"berkeley, california",,gay,likes dogs and likes cats,atheism,libra,no,english,single,1,10,3,3,2,81
2259,m,32,fit,anything,socially,never,graduated from college/university,asian,70,60000,science / tech / engineering,"san francisco, california",,straight,likes dogs and dislikes cats,other,aquarius,sometimes,"english,",single,7,3,5,10,4,95
2260,m,24,athletic,anything,socially,sometimes,graduated from two-year college,asian  middle eastern  black  native american  indian  pacific islander  hispanic   latin  white  other,68,30000,science / tech / engineering,"berkeley, california",doesn&rsquo;t want kids,straight,,atheism,capricorn,yes,english,single,4,6,2,2,8,69
2261,m,53,fit,anything,socially,sometimes,dropped out of masters program,white,72,150000,sales / marketing / biz dev,"lafayette, california",doesn&rsquo;t want kids,straight,likes dogs and has cats,other,virgo,no,english,seeing someone,1,3,4,3,1,78
2262,m,35,fit,anything,socially,never,graduated from space camp,white,74,-1,banking / financial / real estate,"san francisco, california",,straight,likes cats,catholicism,gemini,no,english,single,9,6,9,5,6,74
